# DES-SN Y5 (Dovekie HD): CID z_HD mu sigma_total
# sigma_total = sqrt(MUERR^2 + MUERR_VPEC^2 + MUERR_SYS^2)
# N_unique_SN = 1820 (1623 DES + 197 external low-z); N_rows = 1820
# Source: DES Collaboration, DES-SN5YR data release (public)
1299503 0.29498 43.93669 248.036601
1300703 0.29571 41.04146 0.145033
1295436 0.29584 42.42820 223.863307
1257934 0.29648 40.82165 0.132291
1293319 0.29686 40.89235 0.201781
1291346 0.29770 40.71277 0.139531
1901115 0.29874 40.92345 0.198217
1305051 0.29887 41.09030 0.184678
1547071 0.29911 40.90452 0.233497
1293275 0.30179 41.80664 47.043064
1321006 0.30244 41.12940 0.120465
1294948 0.30246 40.40637 4.066857
1339002 0.30251 40.93181 0.181511
1334654 0.30259 42.00282 15.541589
1905171 0.30307 41.04589 0.232188
1659022 0.30317 41.38656 129.991828
1259412 0.30477 40.93882 0.118076
1335717 0.30477 41.11450 0.193392
1861124 0.30511 40.37324 169.272564
1340954 0.30517 40.87119 0.141253
1849051 0.30546 40.93135 0.133949
1368131 0.30694 40.93472 0.096626
1281668 0.30697 41.00668 0.116113
1777124 0.30743 41.34191 0.161889
1319821 0.30880 41.09949 0.115463
1292767 0.30893 40.93935 0.187914
1650024 0.30994 41.14081 0.145113
1848053 0.31016 41.71960 25.592576
1300516 0.31042 40.68442 0.308336
1321338 0.31048 41.08142 0.165056
1264434 0.31075 40.85079 0.136581
1323831 0.31079 41.72013 258.714503
1338128 0.31184 41.13838 0.161820
1791116 0.31193 41.03378 0.131609
1337838 0.31194 41.03821 0.133174
1263369 0.31251 41.06449 0.116507
1294743 0.31257 41.05905 0.357320
1662023 0.31268 40.87877 0.124006
1321365 0.31270 42.23841 195.064101
1283878 0.31286 41.10731 0.117992
1341894 0.31293 41.09265 0.135986
1850045 0.31314 40.95914 0.182134
1880686 0.31406 41.01342 0.108454
1943111 0.31562 41.11746 0.113007
1929024 0.31564 41.12722 0.243702
1913214 0.31615 41.10099 0.119627
1300179 0.31722 41.10583 0.176038
1265165 0.31752 41.32500 0.208114
1345553 0.31794 41.19550 0.124839
1625037 0.31863 41.14129 0.130381
1253119 0.31915 41.11731 0.148160
1897267 0.31920 41.09362 0.263331
1259615 0.32008 41.24500 0.150428
1293366 0.32040 41.26326 0.156012
1566028 0.32059 41.06264 0.141042
1246527 0.32078 41.19991 0.140583
1366482 0.32154 41.20996 0.150826
1261579 0.32214 40.97363 0.109744
1310396 0.32250 41.21681 0.108027
1891147 0.32274 41.12372 0.141946
1248243 0.32394 41.20068 0.132128
1292033 0.32472 41.23036 0.150220
1592028 0.32510 41.15482 0.143733
1340700 0.32550 41.06110 0.299869
1305626 0.32572 41.14461 0.106936
1308326 0.32622 41.15016 0.116442
1469040 0.32670 41.19884 0.166029
1314071 0.32707 40.96772 0.157924
1259511 0.32710 41.23238 0.084601
1306073 0.32858 41.15561 0.106554
1303215 0.32869 41.61532 0.241198
1337687 0.32869 41.13399 0.121543
1293783 0.32874 41.12827 0.178180
1316465 0.32909 41.09302 0.142317
1266808 0.32930 42.20032 200.955107
1301933 0.32959 41.25571 0.099958
1569050 0.32988 41.10156 0.225286
1653101 0.33000 41.36497 0.226282
1847079 0.33041 41.00674 0.210554
1338675 0.33047 41.20651 0.196118
1264068 0.33054 41.32269 0.137977
1370320 0.33070 41.23123 0.140308
1321276 0.33121 41.34494 0.128664
1249416 0.33169 42.54940 191.483318
1449074 0.33186 41.23828 0.121038
1339217 0.33191 41.09795 0.455550
1306141 0.33239 41.05229 0.132039
1257356 0.33257 41.07062 0.126832
1260241 0.33336 41.22274 0.121312
1309492 0.33352 41.09830 0.114470
1346956 0.33352 41.14660 0.150699
1295024 0.33386 41.51629 0.206804
1257609 0.33389 41.09655 0.261459
1319066 0.33403 41.33285 0.227995
1335305 0.33403 41.52916 0.162943
1480038 0.33423 41.22336 0.124668
1531112 0.33470 41.27318 0.129865
1309293 0.33472 41.17467 0.215768
1297318 0.33479 41.35422 0.338682
1323016 0.33485 41.43045 0.227930
1346966 0.33513 41.11304 0.131397
1262163 0.33520 42.21636 15.658454
1246281 0.33549 41.20914 0.169248
1929216 0.33584 41.31977 0.258529
1330530 0.33633 41.13656 0.313371
1314897 0.33662 41.10509 0.161260
1287437 0.33681 41.40221 0.318684
1320501 0.33683 41.21969 0.118308
